t,solar,wind,year
711,0,0.424,2000
712,0,0.406,2000
713,0,0.38,2000
714,0,0.273,2000
715,0,0.186,2000
716,0,0.154,2000
717,0,0.247,2000
718,0,0.265,2000
719,0,0.243,2000
720,0,0.231,2000
721,0,0.232,2000
722,0.333,0.218,2000
723,0.611,0.346,2000
724,0.781,0.384,2000
725,0.806,0.38,2000
726,0.798,0.362,2000
727,0.78,0.337,2000
728,0.766,0.311,2000
729,0.754,0.285,2000
730,0.724,0.302,2000
731,0.646,0.352,2000
732,0.453,0.396,2000
733,0.074,0.415,2000
734,0,0.496,2000
735,0,0.396,2000
736,0,0.288,2000
737,0,0.21,2000
738,0,0.16,2000
739,0,0.132,2000
740,0,0.118,2000
741,0,0.107,2000
742,0,0.098,2000
743,0,0.09,2000
744,0,0.085,2000
745,0,0.081,2000
746,0.407,0.067,2000
747,0.695,0.15,2000
748,0.78,0.192,2000
749,0.805,0.161,2000
750,0.798,0.139,2000
751,0.779,0.13,2000
752,0.764,0.128,2000
753,0.751,0.135,2000
754,0.719,0.147,2000
755,0.641,0.164,2000
756,0.45,0.179,2000
757,0.077,0.208,2000
758,0,0.288,2000
759,0,0.299,2000
760,0,0.271,2000
761,0,0.222,2000
762,0,0.123,2000
763,0,0.091,2000
764,0,0.116,2000
765,0,0.135,2000
766,0,0.114,2000
767,0,0.089,2000
768,0,0.081,2000
769,0,0.089,2000
770,0.314,0.086,2000
771,0.595,0.126,2000
772,0.664,0.175,2000
773,0.695,0.15,2000
774,0.693,0.113,2000
775,0.694,0.085,2000
776,0.689,0.065,2000
777,0.681,0.053,2000
778,0.648,0.062,2000
779,0.566,0.086,2000
780,0.351,0.112,2000
781,0.03,0.136,2000
782,0,0.191,2000
783,0,0.262,2000
784,0,0.35,2000
785,0,0.276,2000
786,0,0.197,2000
787,0,0.156,2000
788,0,0.115,2000
789,0,0.098,2000
790,0,0.101,2000
791,0,0.117,2000
792,0,0.134,2000
793,0,0.134,2000
794,0.102,0.119,2000
795,0.264,0.32,2000
796,0.428,0.417,2000
797,0.517,0.459,2000
798,0.556,0.527,2000
799,0.561,0.571,2000
800,0.541,0.556,2000
801,0.49,0.503,2000
802,0.359,0.48,2000
803,0.237,0.47,2000
804,0.103,0.406,2000
805,0.007,0.396,2000
806,0,0.354,2000
807,0,0.333,2000
808,0,0.314,2000
809,0,0.299,2000
810,0,0.309,2000
811,0,0.476,2000
812,0,0.439,2000
813,0,0.401,2000
814,0,0.383,2000
815,0,0.381,2000
816,0,0.395,2000
817,0,0.406,2000
818,0.097,0.376,2000
819,0.278,0.452,2000
820,0.485,0.594,2000
821,0.576,0.575,2000
822,0.611,0.52,2000
823,0.567,0.414,2000
824,0.568,0.293,2000
825,0.471,0.18,2000
826,0.465,0.12,2000
827,0.271,0.08,2000
828,0.14,0.054,2000
829,0.012,0.056,2000
830,0,0.061,2000
831,0,0.067,2000
832,0,0.077,2000
833,0,0.086,2000
834,0,0.086,2000
835,0,0.096,2000
836,0,0.104,2000
837,0,0.096,2000
838,0,0.077,2000
839,0,0.071,2000
840,0,0.058,2000
841,0,0.075,2000
842,0.066,0.075,2000
843,0.223,0.05,2000
844,0.415,0.067,2000
845,0.522,0.071,2000
846,0.568,0.059,2000
847,0.638,0.052,2000
848,0.652,0.048,2000
849,0.575,0.044,2000
850,0.46,0.044,2000
851,0.34,0.052,2000
852,0.153,0.064,2000
853,0.016,0.067,2000
854,0,0.07,2000
855,0,0.067,2000
856,0,0.043,2000
857,0,0.03,2000
858,0,0.026,2000
859,0,0.022,2000
860,0,0.015,2000
861,0,0.012,2000
862,0,0.011,2000
863,0,0.015,2000
864,0,0.017,2000
865,0,0.018,2000
866,0.174,0.017,2000
867,0.445,0.024,2000
868,0.618,0.022,2000
869,0.702,0.011,2000
870,0.706,0.005,2000
871,0.712,0.005,2000
872,0.679,0.006,2000
873,0.576,0.011,2000
874,0.526,0.024,2000
875,0.429,0.039,2000
876,0.273,0.049,2000
877,0.045,0.062,2000
878,0,0.078,2000
879,0,0.08,2000
880,0,0.087,2000
881,0,0.088,2000
882,0,0.083,2000
883,0,0.074,2000
884,0,0.067,2000
885,0,0.067,2000
886,0,0.058,2000
887,0,0.046,2000
888,0,0.036,2000
889,0,0.028,2000
890,0.032,0.02,2000
891,0.119,0.015,2000
892,0.248,0.014,2000
893,0.396,0.009,2000
894,0.568,0.005,2000
895,0.68,0.004,2000
896,0.686,0.005,2000
897,0.647,0.008,2000
898,0.557,0.013,2000
899,0.402,0.018,2000
900,0.171,0.023,2000
901,0.017,0.034,2000
902,0,0.053,2000
903,0,0.056,2000
904,0,0.041,2000
905,0,0.027,2000
906,0,0.016,2000
907,0,0.008,2000
908,0,0.003,2000
909,0,0.001,2000
910,0,0,2000
911,0,0,2000
912,0,0,2000
913,0,0,2000
914,0.085,0,2000
915,0.297,0.001,2000
916,0.535,0.003,2000
917,0.666,0.004,2000
918,0.675,0.004,2000
919,0.681,0.004,2000
920,0.663,0.004,2000
921,0.588,0.005,2000
922,0.464,0.008,2000
923,0.341,0.023,2000
924,0.178,0.046,2000
925,0.016,0.067,2000
926,0,0.062,2000
927,0,0.039,2000
928,0,0.019,2000
929,0,0.007,2000
930,0,0.002,2000
931,0,0.001,2000
932,0,0,2000
933,0,0,2000
934,0,0,2000
935,0,0.001,2000
936,0,0.003,2000
937,0,0.004,2000
938,0.042,0.003,2000
939,0.155,0.005,2000
940,0.34,0.004,2000
941,0.484,0.004,2000
942,0.588,0.008,2000
943,0.657,0.011,2000
944,0.658,0.015,2000
945,0.628,0.018,2000
946,0.485,0.022,2000
947,0.39,0.026,2000
948,0.22,0.031,2000
949,0.028,0.04,2000
950,0,0.045,2000
951,0,0.039,2000
952,0,0.032,2000
953,0,0.027,2000
954,0,0.023,2000
955,0,0.018,2000
956,0,0.014,2000
957,0,0.01,2000
958,0,0.01,2000
959,0,0.013,2000
960,0,0.012,2000
961,0,0.009,2000
962,0.089,0.006,2000
963,0.285,0.008,2000
964,0.536,0.014,2000
965,0.663,0.016,2000
966,0.714,0.018,2000
967,0.702,0.016,2000
968,0.688,0.013,2000
969,0.669,0.011,2000
970,0.607,0.014,2000
971,0.499,0.021,2000
972,0.221,0.033,2000
973,0.027,0.051,2000
974,0,0.062,2000
975,0,0.059,2000
976,0,0.049,2000
977,0,0.035,2000
978,0,0.024,2000
979,0,0.018,2000
980,0,0.015,2000
981,0,0.014,2000
982,0,0.01,2000
983,0,0.003,2000
984,0,0.001,2000
985,0,0,2000
986,0.135,0,2000
987,0.388,0,2000
988,0.626,0.001,2000
989,0.708,0.002,2000
